content,a,b,c,d,correct_option
"In the passage, the term 'resilient' best describes someone who is:",Able to recover quickly,Easily discouraged,Physically strong only,Unwilling to change,A
The use of the word 'obsolete' in the passage means:,No longer in use,Highly advanced,Very popular,Difficult to understand,A
"X and Y started a business sharing profits in the ratio 3:2. After 4 months, Y leaves. X invests an additional Rs. 20000 at that time. If the total profit after one year is Rs. 30000, what is Y’s share?",7500,9000,12000,15000,A
How many different 4-letter words can be formed from the letters of the word 'MATH' without repetition?,24,12,16,8,A
We will meet _____ the evening to discuss the project.,at,in,on,by,A
The conference is scheduled to start _____ Monday morning.,in,at,on,by,C
She has been living in Delhi _____ 2010.,since,for,from,at,A
The train arrives _____ the station at 5 p.m.,on,in,at,by,C
The books are kept _____ the table in the study room.,in,on,at,by,B
The meeting was postponed _____ Friday due to unforeseen circumstances.,in,at,on,by,C
He arrived _____ the airport just before the flight took off.,at,in,on,by,A
She was born _____ the month of August.,at,on,in,by,C
The cat is hiding _____ the bed.,on,under,in,at,B
They have been working on this project _____ the last three months.,since,for,from,at,B
"Five friends A, B, C, D and E are sitting in a row. B is to the immediate left of C. D is to the immediate right of A. E is at one of the ends. Who is sitting in the middle?",A,B,C,D,C
The teacher explained the lesson very clearly but the students didn't understood it.,The teacher explained the lesson very clearly but the students didn't understood it.,The teacher explained the lesson very clearly but the students didn't understand it.,The teacher explained the lesson very clearly but the students don't understand it.,The teacher explained the lesson very clearly but the students hasn't understood it.,B
The team are going to win the championship this year.,The team is going to win the championship this year.,The team are going to win the championship this year.,The team were going to win the championship this year.,The team be going to win the championship this year.,A
He suggested me to go to the doctor immediately.,He suggested that I should go to the doctor immediately.,He suggested me to go to the doctor immediately.,He suggested me going to the doctor immediately.,He suggested me go to the doctor immediately.,A
He is one of those persons who likes to travel a lot.,He is one of those persons who like to travel a lot.,He is one of those persons who likes to travel a lot.,He is one of those persons who liking to travel a lot.,He is one of those persons who liked to travel a lot.,A
Each of the students have to submit their assignments by Friday.,Each of the students has to submit his or her assignment by Friday.,Each of the students have to submit their assignments by Friday.,Each of the students had to submit their assignments by Friday.,Each of the students have submitted their assignments by Friday.,A
The news are very good today.,The news is very good today.,The news are very good today.,The news were very good today.,The news have been very good today.,A
"A man is facing north. He turns 90 degrees clockwise, then 180 degrees anticlockwise, and finally 90 degrees clockwise. Which direction is he facing now?",North,South,East,West,A
What is the primary function of the CPU in a computer?,To process instructions and perform calculations,To store large amounts of data permanently,To display images and videos,To connect the computer to the internet,A
Which device is considered the main input device for a computer?,Keyboard,Monitor,Printer,Speaker,A
Which of the following is a non-volatile memory?,Hard Disk Drive,RAM,Cache Memory,Register,A
What is the purpose of an operating system?,To manage hardware and software resources,To create documents and spreadsheets,To protect the computer from viruses,To connect to the internet,A
Which of the following storage devices uses optical technology?,CD-ROM,Hard Disk,USB Flash Drive,RAM,A
Which component is known as the 'brain' of the computer?,Central Processing Unit,Random Access Memory,Hard Drive,Motherboard,A
Which type of software controls the hardware and provides services for application software?,Operating System,Utility Software,Application Software,Programming Software,A
Which device is used to convert digital signals into analog signals for transmission over telephone lines?,Modem,Router,Switch,Hub,A
"There are three boxes. One contains only apples, one contains only oranges, and one contains both apples and oranges. The boxes are labeled incorrectly. You may pick one fruit from one box to identify the contents. Which box should you pick from to correctly label all boxes?",Box labeled 'Apples and Oranges',Box labeled 'Apples Only',Box labeled 'Oranges Only',Any box,A
A cube is painted on all sides and then cut into 64 smaller cubes of equal size. How many smaller cubes have exactly two sides painted?,8,24,16,12,D
"If in a certain code, 'TABLE' is written as 'YFLQJ', how is 'CHAIR' written in that code?",HMFLW,XGZMW,XLFMW,YLFMW,C
"Six people P, Q, R, S, T and U are sitting on a bench. P is to the right of Q but to the left of R. T is between S and U. Who is sitting in the middle?",P,Q,S,T,A
"In a family, A is the father of B. B is the only son of C. D is the mother of C. How is D related to A?",Mother-in-law,Grandmother,Mother,Aunt,A
There are four boxes placed one above the other. Box A is above box B but below box C. Box D is below box B. Which box is at the bottom?,A,B,C,D,D
"A person walks 3 km north, then 4 km east, then 3 km south and then 4 km west. How far is he from the starting point?",0 km,3 km,4 km,7 km,A
"A man observes the top of a tower from two points at distances 100 m and 150 m from its base on the same straight line. If the angles of elevation at these points are 30° and 45°, what is the height of the tower?",50 m,75 m,100 m,125 m,B
The angles of elevation of the top of a tower from two points at a distance of 30 m apart in a line with the tower are 45° and 60°. Find the height of the tower.,30 m,20 m,15 m,10 m,A
"From two points on the same side of a tower, the angles of elevation of the top are 45° and 60°. The distance between the two points is 70 m. Find the height of the tower.",35√3 m,70 m,35 m,50 m,A
The length of each side of a regular pentagon is 8 cm. What is its perimeter?,40 cm,32 cm,48 cm,36 cm,A
"If the radius of the circumscribed circle of a regular octagon is 10 cm, what is the length of each side?",7.65 cm,5 cm,9.5 cm,8 cm,A
What is the measure of each exterior angle of a regular polygon with 9 sides?,40°,50°,60°,30°,A
A regular polygon has an interior angle of 140°. How many sides does it have?,18,15,12,20,A
The apothem of a regular hexagon is 6 cm. What is the area of the hexagon if each side is 7 cm?,126 cm²,100 cm²,144 cm²,150 cm²,A
How many diagonals does a regular decagon have?,35,40,45,50,A
Which of the following elements is located in Group 17 of the Periodic Table?,Chlorine,Oxygen,Calcium,Neon,A
"In the modern periodic table, elements are arranged according to which of the following properties?",Atomic number,Atomic mass,Density,Melting point,A
Which period in the periodic table contains the highest number of elements?,Period 6,Period 2,Period 4,Period 3,A
"From the foot of a tower, moving 40 m towards it, the angle of elevation changes from 30° to 60°. What is the height of the tower?",20(√3 + 1) m,20(√3 - 1) m,40 m,20 m,B
"From two points on the same side of a tower and separated by 100 m, the angles of elevation of the top are 45° and 30°. Find the height of the tower.",50 m,70 m,40 m,60 m,A
The idiom 'bite the bullet' means:,To avoid responsibility,To endure a painful experience bravely,To speak harshly to someone,To make a quick decision,B
What is the meaning of the idiom 'cost an arm and a leg'?,To be very expensive,To cause injury,To be very cheap,To be priceless,A
What does 'let the cat out of the bag' mean?,To reveal a secret unintentionally,To free a trapped animal,To cause confusion,To make a loud noise,A
The idiom 'under the weather' means:,Feeling sick or unwell,Experiencing bad weather outside,Being angry,Feeling very happy,A
What is the meaning of the idiom 'kick the bucket'?,To retire from work,To die,To start a new job,To get angry,B
The idiom 'piece of cake' means:,Something very easy,A complicated task,A type of dessert,An unfair situation,A
What does the idiom 'call it a day' mean?,To stop working for the day,To take a break,To start work early,To work overtime,A
The idiom 'burn the midnight oil' means:,To work late into the night,To waste resources,To celebrate late at night,To fall asleep early,A
What is the simplified form of (3/4) ÷ (9/16)?,4/3,3/4,2/3,3/2,D
Simplify the expression: (5/6) × (3/10) ÷ (1/4).,1/4,1/2,1/5,1/3,B
Find the value of (7/8) + (5/12) - (1/3).,11/24,23/24,13/24,19/24,B
What is the result when (2/3) is subtracted from (5/4)?,7/12,11/12,13/12,3/7,A
Simplify: (3/5) × (10/9) ÷ (1/6).,4,2,3,5,D
Calculate the value of (4/7) ÷ (8/21).,2,3/2,1/2,7/12,A
Find the simplified value of (1/2) + (2/3) - (3/4).,1/12,7/12,5/12,3/4,A
Simplify the expression: (7/12) - (1/3) + (5/8).,19/24,23/24,17/24,21/24,C
Calculate: (5/9) ÷ [(2/3) × (3/4)].,10/27,5/6,5/8,15/8,B
The angles of elevation of the top of a tower from two points 50 m apart on the same side of the tower are 60° and 45°. What is the height of the tower?,25(√3 + 1) m,25(√3 - 1) m,50 m,30 m,A
"She said, ""I am going to the market."" How will you convert this sentence into indirect speech?",She said that she was going to the market.,She said that I am going to the market.,She said that she is going to the market.,She said that she goes to the market.,A
"Direct speech: ""Will you help me?"" he asked. What is the correct indirect speech form?",He asked if I would help him.,He asked will I help him.,He asked that I help him.,He asked do I help him.,A
"Convert the sentence into indirect speech: ""I have finished my homework,"" said Ravi.",Ravi said that he had finished his homework.,Ravi said that he has finished his homework.,Ravi said that he will finish his homework.,Ravi said he finished his homework.,A
"How do you change this sentence into indirect speech? ""Don't touch the stove,"" said mother.",Mother told me not to touch the stove.,Mother said do not touch the stove.,Mother told me don't touch the stove.,Mother said not touching the stove.,A
"Transform into indirect speech: ""I am watching a movie,"" he said.",He said that he was watching a movie.,He said that he is watching a movie.,He said that I am watching a movie.,He said he watched a movie.,A
"Change the direct speech to indirect: ""Where do you live?"" she asked.",She asked where I lived.,She asked where do you live.,She asked where I live.,She asked where you live.,A
"Convert into indirect speech: ""We will meet you tomorrow,"" they said.",They said that they would meet me the next day.,They said that they will meet me tomorrow.,They said that we will meet you tomorrow.,They said that they meet me tomorrow.,A
"Change to indirect speech: ""Please open the window,"" he said.",He requested me to open the window.,He said please open the window.,He asked me open the window.,He told me open the window.,A
"How will you convert this to indirect speech? ""The train arrives at 7 pm,"" he said.",He said that the train arrived at 7 pm.,He said that the train arrives at 7 pm.,He said that train arrives at 7 pm.,He said the train arrives at 7 pm.,A
"Direct speech: ""I can swim very well,"" she said. Convert into indirect speech.",She said that she could swim very well.,She said that she can swim very well.,She said that I can swim very well.,She said that she swims very well.,A
Which act introduced the concept of separate electorates for Muslims in India?,"Morley-Minto Reforms Act, 1909","Government of India Act, 1935","Rowlatt Act, 1919","Regulating Act, 1773",A
"The Government of India Act, 1935, proposed the establishment of which of the following?",Federal structure with autonomy to provinces,Direct British rule with no Indian participation,Immediate independence of India,Separate electorates for Sikhs only,A
The Rowlatt Act of 1919 was primarily enacted to,Extend emergency measures to control revolutionary activities,Introduce self-government for Indians,Abolish the zamindari system,Grant voting rights to all Indians,A
Which act disbanded the Indian National Congress temporarily and imposed strict controls on political activities?,"Rowlatt Act, 1919","Regulating Act, 1773","Indian Councils Act, 1909","Salt Act, 1882",A
The Indian Councils Act of 1909 is also known as,Morley-Minto Reforms,Montagu-Chelmsford Reforms,Government of India Act,Rowlatt Act,A
The Montagu-Chelmsford Reforms were introduced in which year?,1919,1909,1935,1858,A
Which act led to the introduction of dyarchy in the provinces of British India?,"Government of India Act, 1919","Indian Councils Act, 1909","Government of India Act, 1935","Regulating Act, 1773",A
"The Salt Act, imposed by the British, was protested by which movement?",Dandi March,Quit India Movement,Non-Cooperation Movement,Swadeshi Movement,A
"Which act marked the beginning of direct British government control over India, ending the rule of the East India Company?","Government of India Act, 1858","Regulating Act, 1773","Indian Councils Act, 1892","Charter Act, 1813",A
Choose the correct article: I saw ___ elephant at the zoo.,a,an,the,no article,B
Identify the sentence with the correct use of the definite article.,She gave me an apple from the basket.,He is a best player in the team.,The sun rises in the east.,I need a information about the event.,C
Fill in the blank with the appropriate article: She wants to buy ___ umbrella.,a,an,the,no article,B
Which sentence correctly uses the indefinite article?,He found a unique solution to the problem.,She is the honest person I know.,The moon is bright tonight.,I have the idea for our project.,A
Select the correct article for the sentence: I visited ___ Taj Mahal last year.,a,an,the,no article,C
Choose the correct article: There is ___ university near my house.,an,a,the,no article,B
Identify the sentence where the definite article is incorrectly used.,The water in the glass is cold.,I need the advice on this matter.,The Earth revolves around the Sun.,The president will address the nation.,B
The Sundarbans Wildlife Sanctuary is primarily known for protecting which species?,Bengal Tiger,Indian Elephant,Asiatic Lion,One-horned Rhinoceros,A
Which state in India is home to the Bhitarkanika Wildlife Sanctuary?,Odisha,West Bengal,Tamil Nadu,Madhya Pradesh,A
"Where is the Dampa Tiger Reserve, also a wildlife sanctuary, located in India?",Mizoram,Nagaland,Arunachal Pradesh,Assam,A
Which wildlife sanctuary is known as the habitat of the Nilgiri Tahr in India?,Mukurthi Wildlife Sanctuary,Kaziranga Wildlife Sanctuary,Dudhwa Wildlife Sanctuary,Gir Wildlife Sanctuary,A
The Rann of Kutch Wildlife Sanctuary is located in which Indian state?,Gujarat,Rajasthan,Haryana,Maharashtra,A
Which wildlife sanctuary in India is famous for its population of Indian Pangolins?,Biligiri Rangaswamy Temple Wildlife Sanctuary,Sariska Wildlife Sanctuary,Manas Wildlife Sanctuary,Nokrek Wildlife Sanctuary,A
Which wildlife sanctuary is recognized for conserving the endangered Sangai deer in India?,Keibul Lamjao Wildlife Sanctuary,Pench Wildlife Sanctuary,Melghat Wildlife Sanctuary,Bandhavgarh Wildlife Sanctuary,A
The Guindy National Park serves as a wildlife sanctuary in which metropolitan city in India?,Chennai,Mumbai,Kolkata,Delhi,A
Which sanctuary in India is known for the migratory bird sanctuary at Bharatpur?,Keoladeo National Park,Chilika Wildlife Sanctuary,Ranganathittu Wildlife Sanctuary,Sultanpur Wildlife Sanctuary,A
Who was appointed as the new Chairperson of National Bank for Agriculture and Rural Development (NABARD) in 2024?,G.R. Chintala,Harsh Kumar Bhanwala,Harsha Bangari,S.K. Sinha,A
Who assumed charge as the new Chairman of the Insurance Regulatory and Development Authority of India (IRDAI) in 2024?,Debasish Panda,Subhash Chandra Khuntia,S. Karuna Raju,M. R. Kumar,C
Who was appointed as the new CEO of the Indian Renewable Energy Development Agency (IREDA) in 2024?,Pradip Kumar Das,Rajeev Sharma,R.K. Singh,Anil Kumar Jain,A
Who took over as the new Chairman of the Airports Authority of India (AAI) in 2024?,Arvind Singh,Sanjeev Kumar,Vipin Kumar,Deepak Kumar,A
Who has been appointed as the new Director of the Indian Space Research Organisation (ISRO) in 2024?,S. Somanath,K. Sivan,M. Annadurai,G. Madhavan Nair,A
Who was named the new Chairman of the State Bank of India (SBI) in 2024?,Dinesh Kumar Khara,Rajnish Kumar,Arundhati Bhattacharya,Pratip Chaudhuri,A
"From two points, A and B, on the same side of a tower and 120 m apart, the angles of elevation of the top of the tower are 30° and 60° respectively. Find the height of the tower.",60 m,40√3 m,30 m,20√3 m,A
"A and B start a business by investing Rs. 5000 and Rs. 7000 respectively. After 4 months, A invests an additional Rs. 3000. What is the ratio of their investments for profit sharing in a 1-year partnership?",5:7,13:21,7:10,8:11,B
"A and B enter into a partnership investing Rs. 4000 and Rs. 6000 respectively. After 3 months, A withdraws Rs. 1000 and B invests an additional Rs. 2000. Find the ratio of their profits at the end of 1 year.",23:39,5:9,7:12,3:5,A
"A, B, and C share profits in the ratio of 2:3:5. They invest Rs. 20000, Rs. 30000, and Rs. 50000 respectively for 6, 4, and 3 months. Who will get the highest share of profit?",A,B,C,All equal,B
A and B start a business with investments in the ratio 7:5. A invests for 8 months and B for 12 months. What is the ratio of their profits?,14:15,7:5,8:12,10:7,A
"If I was you, I would have taken the job offer.","If I were you, I would have taken the job offer.","If I am you, I would have taken the job offer.","If I were you, I will take the job offer.","If I was you, I will take the job offer.",A
Neither the manager nor the employees was willing to accept the new policy.,Neither the manager nor the employees were willing to accept the new policy.,Neither the manager nor the employees is willing to accept the new policy.,Neither the manager nor the employees are willing to accept the new policy.,Neither the manager nor the employees have willing to accept the new policy.,A
"If A can run 100 meters in 12 seconds and B can run the same distance in 15 seconds, what is the ratio of their speeds?",5 : 4,4 : 5,3 : 4,4 : 3,B
"A, B, and C invest Rs. 12000, Rs. 15000, and Rs. 18000 respectively. A invests for 8 months, B for 6 months, and C for 4 months. What is the ratio of their profits?",24:15:12,6:5:4,8:6:4,12:10:12,A
"A and B start a business with investments of Rs. 25000 and Rs. 30000. After 5 months, A withdraws Rs. 5000 and B adds Rs. 10000. Find the ratio of their investments for 1 year.",22:33,27:40,25:30,7:10,B
"A and B invest in a business. A invests Rs. 20000 for 9 months and B invests Rs. 25000 for x months. If their profits are equal, what is the value of x?",7.2,8,9,10,A
"If log a = 2 and log b = 3, what is the value of log (a × b)?",5,6,1,0.5,A
Which of the following represents the logarithmic identity for log (x^n)?,n log x,log (n x),log x / n,n + log x,A
"If log 2 = 0.3010 and log 3 = 0.4771, find log (18).",1.2553,1.2304,1.3522,1.1761,A
What is the value of log (1/x) in terms of log x?,-log x,1 - log x,log x,1 / log x,A
Which law of logarithms is used in the expression log (x y) = log x + log y?,Product Law,Quotient Law,Power Law,Change of Base Law,A
"If log 5 = 0.6990, what is the value of log (25)?",1.3980,0.3495,2.0000,0.6990,A
Which of the following expresses the change of base formula for logarithms?,log_b a = log a / log b,log_b a = log b / log a,log_b a = log (a + b),log_b a = log (a - b),A
"If log x = 3 and log y = 2, find log (x^2 y^3).",12,13,10,6,A
What is the value of log_b (b^k) where b > 0 and b ≠ 1?,k,1/k,b^k,log k,A
Which Constitutional Amendment Act introduced provisions for Municipalities in India?,74th Amendment,73rd Amendment,42nd Amendment,61st Amendment,A
What is the minimum population required for the constitution of a Nagar Palika (Municipality) under the 74th Amendment?,"10,000","20,000","50,000","1,00,000",B
Which body is the executive authority in a Municipality as per the 74th Amendment?,Municipal Commissioner,Mayor,Municipal Council,Zila Parishad,A
For how many years is a Municipality constituted according to the 74th Amendment?,5 years,3 years,4 years,6 years,A
Who presides over the meetings of a Municipal Council in most states as per the 74th Amendment?,Mayor,Municipal Commissioner,Deputy Mayor,Chief Secretary,A
Which schedule of the Indian Constitution contains the provisions related to the Municipalities?,11th Schedule,12th Schedule,10th Schedule,9th Schedule,B
What is the main function of the Ward Committee in a Municipality under the 74th Amendment?,Decentralized planning and administration,Conducting state elections,Managing rural affairs,Overseeing police functions,A
Which institution is responsible for creating revenue sources for Municipalities as per the 74th Amendment?,Municipal Council,State Election Commission,State Finance Commission,Panchayat Samiti,C
"According to the 74th Amendment, who has the power to dissolve a Municipality before the expiry of its term?",Governor of the State,Chief Minister,Mayor,President of India,A
Which identity represents the double angle formula for cosine?,cos 2θ = cos²θ - sin²θ,cos 2θ = 2 sinθ cosθ,cos 2θ = sin²θ + cos²θ,cos 2θ = tan²θ - 1,A
What is the simplified form of (1 - cos²θ)/sin²θ?,tan²θ,cot²θ,sec²θ,csc²θ,A
"If sin A = 3/5 and A is acute, what is the value of 1 + cot²A?",25/9,16/9,9/16,5/3,A
Which identity correctly expresses sin(α + β)?,sin α cos β + cos α sin β,sin α sin β + cos α cos β,cos α sin β - sin α cos β,cos α cos β - sin α sin β,A
What is the value of tan²θ + 1 in terms of secθ?,sec²θ,csc²θ,cot²θ,1,A
Which identity is correct for cot 2θ?,(cot²θ - 1)/(2 cot θ),(1 - tan²θ)/(2 tan θ),(cot²θ + 1)/(2 cot θ),2 cot θ/(cot²θ - 1),A
"If sin A = 4/5, what is the value of sec²A - tan²A?",1,9/16,25/16,16/9,A
"If the first figure is rotated 90 degrees clockwise to get the second figure, which option shows the third figure rotated similarly?",Option showing third figure rotated 90 degrees clockwise,Option showing third figure rotated 90 degrees counterclockwise,Option showing third figure flipped horizontally,Option showing third figure flipped vertically,A
Figure 1 is to Figure 2 as Figure 3 is to which option?,Option with same shape but different size,Option with shape rotated 180 degrees,Option with shape mirrored along vertical axis,Option with shape mirrored along horizontal axis,B
"In the given analogy, Figure 1 is a triangle pointing upwards and Figure 2 is the same triangle pointing downwards. What is the corresponding figure for a square pointing left?",Square pointing right,Square pointing upwards,Square pointing downwards,Square rotated 45 degrees,A
"If a solid circle transforms into a hollow circle in the analogy, which option correctly shows the transformation of a solid square?",Hollow square,Solid triangle,Hollow triangle,Solid rectangle,A
Figure 1 has two intersecting lines forming an 'X'. Figure 2 has the same lines but one line is missing. What is the analogous figure for Figure 3 which is a triangle?,Triangle missing one side,Square missing one side,Complete triangle,Triangle with an extra side,A
"In the analogy, Figure 1 is a square divided into four equal parts, and Figure 2 is one part shaded. Figure 3 is a circle divided into four equal parts. Which option shows the analogous shading?",One part of the circle shaded,Two parts of the circle shaded,Three parts of the circle shaded,No part of the circle shaded,A
"If Figure 1 shows a hexagon with all sides equal and Figure 2 shows the same hexagon with alternate sides colored, what is the analogous figure for a pentagon?",Pentagon with all sides equal,Pentagon with alternate sides colored,Pentagon with all sides colored,Pentagon with no sides colored,B
"In MS Excel, what is the purpose of the 'Pivot Table' feature?",To create a summary report by reorganizing and grouping data,To create charts and graphs from data,To sort data in ascending or descending order,To apply conditional formatting to cells,A
She told me that she ____ to the party last night.,has gone,had gone,goes,gone,B
Neither of the boys ____ interested in playing football.,are,is,were,have,B
"If I ____ enough money, I would buy a new car.",have,had,will have,would have,B
What is the minimum age required for a candidate to be elected as a member of a Panchayat according to the 73rd Amendment?,21 years,25 years,18 years,30 years,A
What is the main idea of the passage?,The central theme discussed in the passage,The author's personal opinion,A minor detail mentioned briefly,The conclusion drawn from unrelated facts,A
"According to the passage, what causes the decline in bee populations?",Pesticide use and habitat loss,Increased rainfall,Rise in bee predators,Urbanization only,A
Who is the primary audience targeted by the passage?,General public interested in environmental issues,Children under 10 years of age,Professional engineers,Medical doctors,A
What year was the event described in the passage held?,2015,2018,2020,2012,B
Which of the following best describes the author's tone in the passage?,Informative and neutral,Sarcastic and critical,Humorous and lighthearted,Angry and accusatory,A
What is the duration of the programme mentioned in the passage?,Six months,One year,Three months,Two years,C
Which solution does the passage suggest to improve water conservation?,Installing rainwater harvesting systems,Increasing water tariffs,Reducing industrial production,Importing water from other regions,A
What is the profession of the person quoted in the passage?,Climatologist,Teacher,Politician,Journalist,A
Which geographical region is the focus of the passage?,The Amazon rainforest,The Sahara desert,Arctic tundra,Himalayan region,D
What is the main cause of deforestation mentioned in the passage?,Agricultural expansion,Natural disasters,Tourism development,Urban green spaces,A
The committee ____ to meet every Monday.,are,is,were,have,B
He did not know where ____ the meeting was going to be held.,whether,that,if,when,A
She demanded that he ____ the report immediately.,submits,submit,submitted,will submit,B
Hardly ____ he reached home when the phone rang.,did,he did,had,have,A
Each of the players ____ given a medal for their performance.,have,has,are,were,B
"The teacher, along with the students, ____ going on a picnic tomorrow.",are,is,were,have,B
"If in a certain code, TABLE is written as UBCMF, how is CHAIR written in that code?",DIBJS,DGJQS,DGIRS,DIBJR,A
"In a certain code language, 'PENCIL' is written as 'QFODJM'. How will 'ERASER' be written in that code?",FQBTFS,FQBTFQ,FQBTFR,FQBTFQ,A
"If 'BRIDGE' is coded as 'CSJEFH' in a certain code, then how is 'GARDEN' coded in the same language?",HBSFEO,HBSFDP,HBSFEN,HASEFO,A
"In a certain code, 'MONKEY' is written as 'NPMOLX'. How will 'TIGER' be written in that code?",UJHFS,UJHFT,UJHES,UJGFS,A
"If the word 'EXAM' is coded as 'VZIN', then how will the word 'TEST' be coded in the same code?",GVHG,GVHF,GVHG,GVHH,A
"In a certain code, each letter of the word is replaced by the letter which is two places before it in the English alphabet. How will 'GLASS' be written in that code?",EJYQQ,EJYRR,EJYQQ,ELYQQ,A
"If in a code language, 'FLOOD' is written as 'GMPPE', what will be the code for 'BREAD' in that language?",CSFBE,CSFAD,CSFBE,DRFBE,A
"In a certain code language, 'WOMAN' is written as 'DLRFS'. How is 'CHILD' written in that code?",JQNRK,JQMSK,JQNRJ,JPMRK,A
"If the word 'PLANE' is written as 'QMBOD' in a certain code, how will 'TRAIN' be written in that code?",USBJO,USBIN,TSCJO,USBJP,A
"In a certain code language, the word 'SCHOOL' is coded as 'VRFKRO'. How will 'MARKET' be coded in that language?",PDUNHW,PDUNHV,PDUNIV,PDUNHW,A
Who is the author of the book 'Godan'?,Munshi Premchand,Rabindranath Tagore,R.K. Narayan,Jawaharlal Nehru,A
The perimeter of a figure composed of a rectangle of length 10 cm and breadth 6 cm attached to a semicircle of diameter 6 cm along one of its shorter sides is:,40 cm,37 cm,43 cm,46 cm,B
What was the primary objective of the LPG reforms introduced in India in 1991?,To liberalize the economy by reducing government control,To increase agricultural subsidies,To nationalize private banks,To promote import substitution industrialization,A
Which agreement led to the formation of the WTO?,Uruguay Round Agreement,Bretton Woods Agreement,Kyoto Protocol,Paris Agreement,A
What is the primary objective of the WTO?,To promote free trade by regulating and facilitating international trade agreements,To provide loans for developing countries,To maintain international peace and security,To regulate global financial markets,A
How does the WTO resolve trade disputes among member countries?,Through its Dispute Settlement Body,By imposing economic sanctions,Through the United Nations Security Council,By direct intervention of the IMF,A
Which of these sectors is NOT regulated by the WTO agreements?,International trade in goods and services,Intellectual property rights,Environmental protection policies,Agricultural subsidies and tariffs,C
Who is the first recipient of the Bharat Ratna award?,C. Rajagopalachari,Sarvepalli Radhakrishnan,C.V. Raman,Jawaharlal Nehru,D
Which of the following awards is given for excellence in literature and education in India?,Padma Vibhushan,Jnanpith Award,Dadasaheb Phalke Award,Sahitya Akademi Award,D
The Dadasaheb Phalke Award is associated with which field?,Cinema,Sports,Science,Literature,A
Which of the following is the highest civilian award in India?,Padma Shri,Bharat Ratna,Padma Bhushan,Padma Vibhushan,B
The Rajiv Gandhi Khel Ratna Award is presented for achievements in which domain?,Science and Technology,Sports,Social Work,Arts,B
"Which award is specifically given to recognize excellence in Indian classical music, dance, and drama?",Sangeet Natak Akademi Award,Padma Bhushan,Dadasaheb Phalke Award,Bharat Ratna,A
"Who among the following can be awarded the Padma Awards (Padma Shri, Padma Bhushan, Padma Vibhushan)?",Only Indian citizens,Only Indian citizens and NRIs,Citizens of any country,Only government officials,C
In which year was the Bharat Ratna award instituted?,1947,1954,1961,1975,B
The Arjuna Award is given in recognition of achievements in which field?,Military service,Sports,Literature,Science,B
Which Indian award is considered the highest recognition in the field of social work?,Padma Shri,Bharat Ratna,Ramon Magsaysay Award,Padma Bhushan,C
"If the sides of a right-angled triangle are 6 cm and 8 cm forming the right angle, what is the area of the triangle?",24 cm²,14 cm²,48 cm²,28 cm²,A
"A triangle has sides 5 cm, 12 cm, and 13 cm. What is the area of the triangle?",30 cm²,60 cm²,65 cm²,78 cm²,A
The base and height of a triangle are increased by 20% and 30% respectively. By what percent does the area increase?,50%,56%,60%,70%,B
The perimeter of an equilateral triangle is 24 cm. What is its area?,16√3 cm²,12√3 cm²,18√3 cm²,20√3 cm²,A
"A triangle has sides 8 cm, 15 cm, and 17 cm. Calculate its area.",60 cm²,56 cm²,68 cm²,72 cm²,A
"If the sum of the digits of a number is 18 and the last two digits are 24, the number is divisible by which of the following?",3 and 4,2 and 5,4 and 6,5 and 6,A
A number ends with 00. Which of the following is it definitely divisible by?,2 and 5,3 and 6,4 and 6,3 and 5,A
Which of the following conditions is sufficient to confirm a number is divisible by 4?,Last two digits form a number divisible by 4,Sum of digits is divisible by 4,Last digit is 0 or 4,Number ends with 0,A
What is the smallest number divisible by both 3 and 5?,15,30,10,20,A
A 3-digit number is divisible by 2 and 3 but not by 5. Which of the following could be the number?,246,255,360,275,A
"If a number is divisible by 6, which of the following must be true?",It is divisible by both 2 and 3,It is divisible by 4 and 5,It is divisible by 3 and 5,It is divisible by 2 and 5,A
Which of the following numbers is divisible by 5 but not by 2?,135,240,180,420,A
How many numbers between 1 and 100 are divisible by both 2 and 3?,16,33,50,25,A
Which institution primarily provides financial assistance to countries facing balance of payments problems?,International Monetary Fund (IMF),World Bank,World Trade Organization (WTO),United Nations (UN),A
What is the main focus of the World Bank?,Providing long-term loans for development projects,Regulating international trade agreements,Monitoring global financial stability,Maintaining international peace and security,A
Where are the headquarters of the International Monetary Fund (IMF) located?,"Washington, D.C.",Geneva,New York,Paris,A
I suggest that he ____ more time to prepare for the exam.,was given,is given,be given,gives,C
Which body is responsible for conducting elections to the Panchayats as per the 73rd Amendment?,State Election Commission,Election Commission of India,Gram Sabha,District Magistrate,A
What is the term duration of Panchayats as specified in the 73rd Amendment?,5 years,3 years,6 years,4 years,A
Choose the sentence where the adverb is correctly placed to modify the verb.,He always is punctual.,He is always punctual.,He is punctual always.,Always he is punctual.,B
Which sentence correctly uses the adverb to modify the adjective?,The movie was extremely interesting.,The movie was interesting extremely.,Extremely the movie was interesting.,The extremely movie was interesting.,A
Select the sentence where the adverb modifies the entire sentence.,"Fortunately, the train arrived on time.",The train fortunately arrived on time.,The train arrived fortunately on time.,The train arrived on time fortunately.,A
Identify the correctly placed adverb in the sentence.,She has rarely seen such a beautiful sunset.,Rarely she has seen such a beautiful sunset.,She rarely has seen such a beautiful sunset.,She has seen rarely such a beautiful sunset.,A
Select the sentence where the adverb correctly modifies the verb without ambiguity.,She almost always arrives early.,She always almost arrives early.,Almost she always arrives early.,She arrives almost always early.,A
